epoch,step,train_loss,val_loss
0,49,0.0008746595121920109,
0,61,,0.0008852389291860163
1,99,0.0004656788078136742,
1,123,,0.000526983814779669
2,149,0.0010166431311517954,
2,185,,0.0004668090841732919
3,199,0.0005735341110266745,
3,247,,0.0009306915453635156
4,249,0.0011113842483609915,
4,299,0.0005560442805290222,
4,309,,0.00042675656732171774
5,349,0.0006745699211023748,
5,371,,0.0005017088842578232
6,399,0.0006969347014091909,
6,433,,0.000742064556106925
7,449,0.0006461373995989561,
7,495,,0.0005418458022177219
8,499,0.0004542623064480722,
8,549,0.000539983157068491,
8,557,,0.0003713953774422407
9,599,0.000655575015116483,
9,619,,0.00041173226782120764
10,649,0.001082155853509903,
10,681,,0.0003712050092872232
11,699,0.0010091757867485285,
11,743,,0.0007380940951406956
12,749,0.000310303206788376,
12,799,0.000608456670306623,
12,805,,0.00037155591417104006
13,849,0.0006299869273789227,
13,867,,0.00036261481000110507
14,899,0.00035708854557015,
14,929,,0.00046308379387483
15,949,0.0006806828314438462,
15,991,,0.0003609693958424032
16,999,0.0006251820013858378,
16,1049,0.00027248411788605154,
16,1053,,0.00042042499990202487
17,1099,0.000744198972824961,
17,1115,,0.0004357209545560181
18,1149,0.0006197728216648102,
18,1177,,0.0003699485387187451
19,1199,0.0002599059953354299,
19,1239,,0.0003778182144742459
20,1249,0.0003161963541060686,
20,1299,0.0003586072416510433,
20,1301,,0.0003263934631831944
21,1349,0.00011268015077803284,
21,1363,,0.00046585092786699533
22,1399,0.0004875809536315501,
22,1425,,0.00032564406865276396
23,1449,0.0005991596844978631,
23,1487,,0.00037862767931073904
24,1499,0.0003028237260878086,
24,1549,8.62999731907621e-05,
24,1549,,0.0003159863408654928
25,1599,0.0005768652190454304,
25,1611,,0.00035869976272806525
26,1649,0.00041584219434298575,
26,1673,,0.0003234967007301748
27,1699,0.000604298256803304,
27,1735,,0.00035113070043735206
28,1749,0.0002715124865062535,
28,1797,,0.0004886028473265469
29,1799,0.0004699050332419574,
29,1849,0.00037823652382940054,
29,1859,,0.00031584405223838985
30,1899,0.0002663360792212188,
30,1921,,0.0003226865956094116
31,1949,0.0006150796543806791,
31,1983,,0.0003090766549576074
32,1999,0.0007608705200254917,
32,2045,,0.0003359749971423298
33,2049,0.00031086718081496656,
33,2099,0.0004435273294802755,
33,2107,,0.00030736366170458496
34,2149,9.814735676627606e-05,
34,2169,,0.0003160251653753221
35,2199,0.0005934105138294399,
35,2231,,0.0003128181560896337
36,2249,0.0007013935246504843,
36,2293,,0.000320563733112067
37,2299,0.0004525009135250002,
37,2349,0.00037299905670806766,
37,2355,,0.00031009677331894636
38,2399,0.00017973667127080262,
38,2417,,0.0003502233303152025
