epoch,step,train_loss,val_loss
0,11,,0.02957957051694393
1,23,,0.01617680862545967
2,35,,0.009873971343040466
3,47,,0.008542392402887344
4,49,0.007748461328446865,
4,59,,0.006395639386028051
5,71,,0.006446290295571089
6,83,,0.005623843986541033
7,95,,0.00530270067974925
8,99,0.005362845491617918,
8,107,,0.00620765658095479
9,119,,0.005122988484799862
10,131,,0.004878611769527197
11,143,,0.004947780165821314
12,149,0.004352219868451357,
12,155,,0.004760679788887501
13,167,,0.004814144689589739
14,179,,0.004627602640539408
15,191,,0.004810964222997427
16,199,0.0040181707590818405,
16,203,,0.004688645247370005
17,215,,0.005521194078028202
18,227,,0.0048949928022921085
19,239,,0.004213054198771715
20,249,0.003933347295969725,
20,251,,0.00423292675986886
21,263,,0.004157679621130228
22,275,,0.004214669577777386
23,287,,0.004075332544744015
24,299,0.00380186946131289,
24,299,,0.004107013810425997
25,311,,0.0041475435718894005
26,323,,0.004059284925460815
27,335,,0.004169353749603033
28,347,,0.004334474913775921
29,349,0.006182959768921137,
29,359,,0.0040380689315497875
30,371,,0.004053182899951935
31,383,,0.004090250004082918
32,395,,0.004109775181859732
33,399,0.0059050945565104485,
33,407,,0.004535657819360495
34,419,,0.004018470179289579
35,431,,0.004055002238601446
36,443,,0.004146318417042494
37,449,0.005476478487253189,
37,455,,0.004190903622657061
38,467,,0.003982302267104387
39,479,,0.003996987361460924
