epoch,step,train_loss,val_loss
0,49,0.0005547557957470417,
0,61,,0.0005038410890847445
1,99,0.0002493060892447829,
1,123,,0.0006129126413725317
2,149,0.0005281294579617679,
2,185,,0.00041853770380839705
3,199,0.00040619316860102117,
3,247,,0.0003827412147074938
4,249,0.000517194508574903,
4,299,0.0005913311033509672,
4,309,,0.0006205574609339237
5,349,0.00047796888975426555,
5,371,,0.0004362905165180564
6,399,0.0005275933654047549,
6,433,,0.00043621123768389225
7,449,0.0010582052636891603,
7,495,,0.00037543376674875617
8,499,0.0003081899194512516,
8,549,0.0004851818084716797,
8,557,,0.0003438193234615028
9,599,0.00035446748370304704,
9,619,,0.00032965687569230795
10,649,0.0003948543162550777,
10,681,,0.0004938169731758535
11,699,0.000358538149157539,
11,743,,0.00033572796382941306
12,749,0.0008356768521480262,
12,799,0.0009122808696702123,
12,805,,0.00040896976133808494
13,849,0.00035953064798377454,
13,867,,0.0003466693451628089
14,899,0.0002822586102411151,
14,929,,0.00031817061244510114
15,949,0.00016643988783471286,
15,991,,0.00031754260999150574
16,999,0.0003793534415308386,
16,1049,0.0006451391382142901,
16,1053,,0.00032387793180532753
17,1099,0.00031978380866348743,
17,1115,,0.0003046144265681505
18,1149,0.00039272577851079404,
18,1177,,0.00036410774919204414
19,1199,0.0004334419500082731,
19,1239,,0.0003061387687921524
20,1249,0.0003213149611838162,
20,1299,0.0002190190862165764,
20,1301,,0.0003508507215883583
21,1349,0.00027104985201731324,
21,1363,,0.0003134201979264617
22,1399,0.0003390313358977437,
22,1425,,0.0002964238519780338
23,1449,0.0005277852760627866,
23,1487,,0.0002859298256225884
24,1499,0.00042240164475515485,
24,1549,0.0004874585138168186,
24,1549,,0.0004343538312241435
25,1599,0.0002533930819481611,
25,1611,,0.0002890269679483026
26,1649,0.0002515177184250206,
26,1673,,0.0004569507436826825
27,1699,0.0003564437502063811,
27,1735,,0.00028409442165866494
28,1749,0.0003528340603224933,
28,1797,,0.0002815741172526032
29,1799,0.0003853438247460872,
29,1849,0.00033393711782991886,
29,1859,,0.00028390076477080584
30,1899,0.00021776373614557087,
30,1921,,0.0003198938211426139
31,1949,0.0005073501961305737,
31,1983,,0.00031595752807334065
32,1999,0.0005346125108189881,
32,2045,,0.000280740816378966
33,2049,0.0002530940400902182,
33,2099,0.000560372369363904,
33,2107,,0.0003000410506501794
34,2149,0.0005332476575858891,
34,2169,,0.00030665009398944676
35,2199,0.0004364032356534153,
35,2231,,0.00038405656232498586
36,2249,0.00019118392083328217,
36,2293,,0.00028954652952961624
37,2299,0.00024604497593827546,
37,2349,0.0004649752227123827,
37,2355,,0.0002839536464307457
