epoch,step,train_loss,val_loss
0,49,0.0015205336967483163,
0,61,,0.001745750429108739
1,99,0.0014395382022485137,
1,123,,0.0016117620980367064
2,149,0.0013121863594278693,
2,185,,0.0013464366784319282
3,199,0.000977899762801826,
3,247,,0.0013822340406477451
4,249,0.001760943210683763,
4,299,0.002169508021324873,
4,309,,0.0011008970905095339
5,349,0.0015238949563354254,
5,371,,0.0012022122973576188
6,399,0.000947996333707124,
6,433,,0.0012637375621125102
7,449,0.0008821553783491254,
7,495,,0.0009943480836227536
8,499,0.0019970207940787077,
8,549,0.0008734290604479611,
8,557,,0.001206916174851358
9,599,0.0014935515355318785,
9,619,,0.0009479352156631649
10,649,0.0010017084423452616,
10,681,,0.0010751491645351052
11,699,0.0008298616739921272,
11,743,,0.0009355090442113578
12,749,0.0016851701075211167,
12,799,0.0012501772725954652,
12,805,,0.0010597766377031803
13,849,0.0017413176828995347,
13,867,,0.0009380201809108257
14,899,0.0013596160570159554,
14,929,,0.0008710877737030387
15,949,0.0006176301394589245,
15,991,,0.0008584034512750804
16,999,0.0013537148479372263,
16,1049,0.001956827472895384,
16,1053,,0.0008871114696376026
17,1099,0.0005450854660011828,
17,1115,,0.0010313307866454124
18,1149,0.0010456277523189783,
18,1177,,0.001003968296572566
19,1199,0.0010754874674603343,
19,1239,,0.0008783738594502211
20,1249,0.0005093163345009089,
20,1299,0.0014090921031311154,
20,1301,,0.0008395434124395251
21,1349,0.0009589603869244456,
21,1363,,0.0008225611527450383
22,1399,0.0012708387803286314,
22,1425,,0.0008072406053543091
23,1449,0.0014497997472062707,
23,1487,,0.0008314719889312983
24,1499,0.0010173785267397761,
24,1549,0.001678589964285493,
24,1549,,0.0008027227013371885
25,1599,0.0005865172715857625,
25,1611,,0.0009207356488332152
26,1649,0.0012944797053933144,
26,1673,,0.0008229816448874772
27,1699,0.0009304614504799247,
27,1735,,0.0008514163200743496
28,1749,0.0003903597535099834,
28,1797,,0.0008754815207794309
29,1799,0.0007814927957952023,
29,1849,0.0020184474997222424,
29,1859,,0.0007833464769646525
30,1899,0.0008740858174860477,
30,1921,,0.0007860662299208343
31,1949,0.0007007469539530575,
31,1983,,0.00082203937927261
32,1999,0.0009432208607904613,
32,2045,,0.0009117043227888644
33,2049,0.0005042874254286289,
33,2099,0.001344403252005577,
33,2107,,0.0007802459294907749
34,2149,0.002042712876573205,
34,2169,,0.0007891643326729536
35,2199,0.0004117990902159363,
35,2231,,0.0009690165752544999
36,2249,0.00048186504864133894,
36,2293,,0.0008201297605410218
37,2299,0.0015136427246034145,
37,2349,0.00142238091211766,
37,2355,,0.0007845694781281054
38,2399,0.0008650731178931892,
38,2417,,0.0008239509188570082
