epoch,step,train_loss,val_loss
0,49,0.004377028904855251,
0,61,,0.0011610635556280613
1,99,0.0006404515588656068,
1,123,,0.0007205790607258677
2,149,0.0006530559621751308,
2,185,,0.0006397766410373151
3,199,0.000924591557122767,
3,247,,0.0006004038732498884
4,249,0.000965792394708842,
4,299,0.0006413377122953534,
4,309,,0.0005883056437596679
5,349,0.000652424234431237,
5,371,,0.000872364325914532
6,399,0.0008688310044817626,
6,433,,0.0010741909500211477
7,449,0.0007656703819520772,
7,495,,0.0005257070297375321
8,499,0.00033141454332508147,
8,549,0.0006842269212938845,
8,557,,0.0009143498027697206
9,599,0.00043348915642127395,
9,619,,0.0005306326784193516
10,649,0.0004115239134989679,
10,681,,0.0008215639390982687
11,699,0.0006468466017395258,
11,743,,0.0005501066334545612
12,749,0.00041827643872238696,
12,799,0.0005210278904996812,
12,805,,0.0004903989029116929
13,849,0.0004584638518281281,
13,867,,0.000496046501211822
14,899,0.0006268444703891873,
14,929,,0.00047679623821750283
15,949,0.0006755635258741677,
15,991,,0.0004970417940057814
16,999,0.0006744549609720707,
16,1049,0.00047069950960576534,
16,1053,,0.0005261875921860337
17,1099,0.0005850078305229545,
17,1115,,0.0005859044031240046
18,1149,0.0004026837123092264,
18,1177,,0.0004704708408098668
19,1199,0.0008202372118830681,
19,1239,,0.0006108016241341829
20,1249,0.0002393145114183426,
20,1299,0.0005886414437554777,
20,1301,,0.0006326328148134053
21,1349,0.0003977888263761997,
21,1363,,0.0005523879663087428
22,1399,0.0006611633580178022,
22,1425,,0.0005901363911107183
23,1449,0.0006191647844389081,
23,1487,,0.0004612887278199196
24,1499,0.0005258487653918564,
24,1549,0.00042862212285399437,
24,1549,,0.0004664073057938367
25,1599,0.0007384043419733644,
25,1611,,0.0004523153183981776
26,1649,0.0005641258903779089,
26,1673,,0.0004709942440968007
27,1699,0.0007768767536617815,
27,1735,,0.0005707780946977437
28,1749,0.0007114558247849345,
28,1797,,0.000490171427372843
29,1799,0.0006937946891412139,
29,1849,0.00039079374982975423,
29,1859,,0.0004546736308839172
30,1899,0.00039824802661314607,
30,1921,,0.00043892156099900603
31,1949,0.0001802449842216447,
31,1983,,0.00046811701031401753
32,1999,0.0007804151391610503,
32,2045,,0.00043866585474461317
33,2049,0.0003850558423437178,
33,2099,0.00031214318005368114,
33,2107,,0.00045103731099516153
34,2149,0.0005957146058790386,
34,2169,,0.00043199173524044454
35,2199,0.0004865323135163635,
35,2231,,0.0004285003524273634
36,2249,0.0006853379891254008,
36,2293,,0.00042798026697710156
37,2299,0.0003497047000564635,
37,2349,0.00034303549909964204,
37,2355,,0.00043105363147333264
38,2399,0.0004968176363036036,
38,2417,,0.0004260895657353103
39,2449,0.0007065638201311231,
39,2479,,0.0004278683627489954
