epoch,step,train_loss,val_loss
0,49,0.000692288507707417,
0,61,,0.0005380146903917193
1,99,0.0009206506656482816,
1,123,,0.0004540531081147492
2,149,0.000706343213096261,
2,185,,0.00037306928425095975
3,199,0.00042387377470731735,
3,247,,0.0003711403114721179
4,249,0.0005051204934716225,
4,299,0.0008155888644978404,
4,309,,0.0005384863470681012
5,349,0.0004590582102537155,
5,371,,0.0007712883525528014
6,399,0.0004953147144988179,
6,433,,0.0003513397241476923
7,449,0.00034617382334545255,
7,495,,0.00043130494304932654
8,499,0.0002556045656092465,
8,549,0.00035885535180568695,
8,557,,0.0004698435077443719
9,599,0.0002606183406896889,
9,619,,0.0004984161932952702
10,649,0.0003892513341270387,
10,681,,0.0003181282663717866
11,699,0.00046625034883618355,
11,743,,0.0004100534424651414
12,749,0.00044491206062957644,
12,799,0.0003242574748583138,
12,805,,0.0003405704628676176
13,849,0.0002765864774119109,
13,867,,0.0003104659845121205
14,899,0.0003838030679617077,
14,929,,0.0004547968856059015
15,949,0.00032498466316610575,
15,991,,0.00035526338615454733
16,999,0.0002774407621473074,
16,1049,0.00040899874875321984,
16,1053,,0.0004305558686610311
17,1099,0.000502644688822329,
17,1115,,0.00046479355660267174
18,1149,0.00045861085527576506,
18,1177,,0.00029564101714640856
19,1199,0.00021680723875761032,
19,1239,,0.00029320112662389874
20,1249,0.00028996221954002976,
20,1299,0.00018084693874698132,
20,1301,,0.00029215417453087866
21,1349,0.00017838928033597767,
21,1363,,0.0002992225345224142
22,1399,0.00026822235668078065,
22,1425,,0.00028682625270448625
23,1449,0.0004261979483999312,
23,1487,,0.00029637888655997813
24,1499,0.0002541002759244293,
24,1549,0.0003617095935624093,
24,1549,,0.0003032401145901531
25,1599,0.00017602756270207465,
25,1611,,0.00029216884286142886
26,1649,0.0008774601155892015,
26,1673,,0.0003209259593859315
27,1699,0.00034657344804145396,
27,1735,,0.0003488354559522122
