epoch,step,train_loss,val_loss
0,49,0.0742039903998375,
0,61,,0.0030613387934863567
1,99,0.07400069385766983,
1,123,,0.0024977365974336863
2,149,0.06397588551044464,
2,185,,0.001997833838686347
3,199,0.03629124164581299,
3,247,,0.0011382109951227903
4,249,0.02900802530348301,
4,299,0.021497245877981186,
4,309,,0.0009710679296404123
5,349,0.0205765999853611,
5,371,,0.000683064223267138
6,399,0.010441699996590614,
6,433,,0.0005334798479452729
7,449,0.00653945654630661,
7,495,,0.0006482547032646835
8,499,0.005980248562991619,
8,549,0.003939930349588394,
8,557,,0.00048512715147808194
9,599,0.005908382125198841,
9,619,,0.0004610445466823876
10,649,0.004166891798377037,
10,681,,0.00039643910713493824
11,699,0.003924368880689144,
11,743,,0.0004030262934975326
12,749,0.0020172696094959974,
12,799,0.0031683172564953566,
12,805,,0.00048044699360616505
13,849,0.0022015285212546587,
13,867,,0.000340267491992563
14,899,0.003039832692593336,
14,929,,0.0003279472002759576
15,949,0.005266982596367598,
15,991,,0.0004163469129707664
16,999,0.0028683082200586796,
16,1049,0.0024128309451043606,
16,1053,,0.0003162436478305608
17,1099,0.002703273668885231,
17,1115,,0.0003964486240874976
18,1149,0.0015799885150045156,
18,1177,,0.00035976473009213805
19,1199,0.0020211900118738413,
19,1239,,0.0003962942282669246
20,1249,0.004229104612022638,
20,1299,0.0026084950659424067,
20,1301,,0.00034891426912508905
21,1349,0.002116692718118429,
21,1363,,0.000285111804259941
22,1399,0.001890062354505062,
22,1425,,0.00027682699146680534
23,1449,0.0034060683101415634,
23,1487,,0.0002664826752152294
24,1499,0.001646252698265016,
24,1549,0.001217919634655118,
24,1549,,0.000282656226772815
25,1599,0.0019763449672609568,
25,1611,,0.0002563068410381675
26,1649,0.0009703574469313025,
26,1673,,0.0003211099246982485
27,1699,0.001709052361547947,
27,1735,,0.00025619808002375066
28,1749,0.0025857724249362946,
28,1797,,0.00025528116384521127
29,1799,0.0030601350590586662,
29,1849,0.0023482940159738064,
29,1859,,0.0002646826906129718
30,1899,0.0012145983055233955,
30,1921,,0.0003172486904077232
31,1949,0.0014392429729923606,
31,1983,,0.0002519734262023121
32,1999,0.0021256818436086178,
32,2045,,0.0003060783783439547
33,2049,0.002308568451553583,
33,2099,0.001560258329845965,
33,2107,,0.00024904616293497384
34,2149,0.0017257382860407233,
34,2169,,0.0002508001634851098
35,2199,0.002173732267692685,
35,2231,,0.00028459314489737153
36,2249,0.002086473163217306,
36,2293,,0.00025481588090769947
37,2299,0.0013444686774164438,
37,2349,0.0019345820182934403,
37,2355,,0.0002646391512826085
38,2399,0.0004705390310846269,
38,2417,,0.00025139900390058756
