epoch,step,train_loss,val_loss
0,11,,0.10960710793733597
1,23,,0.026042530313134193
2,35,,0.018906284123659134
3,47,,0.007376214489340782
4,49,0.006704246159642935,
4,59,,0.0050981855019927025
5,71,,0.004598421044647694
6,83,,0.004324505105614662
7,95,,0.00420354912057519
8,99,0.004990382585674524,
8,107,,0.004263870883733034
9,119,,0.0038831038400530815
10,131,,0.0038122376427054405
11,143,,0.0038064229302108288
12,149,0.0028786894399672747,
12,155,,0.003660963848233223
13,167,,0.004010431468486786
14,179,,0.0035504165571182966
15,191,,0.003473342629149556
16,199,0.0041792020201683044,
16,203,,0.003398524597287178
17,215,,0.0033655983861535788
18,227,,0.0034529485274106264
19,239,,0.003320799209177494
20,249,0.004888974130153656,
20,251,,0.003281167009845376
21,263,,0.003104791045188904
22,275,,0.003719175700098276
23,287,,0.003719335189089179
24,299,0.004071412142366171,
24,299,,0.003375029657036066
25,311,,0.0030508951749652624
26,323,,0.0029612195212394
27,335,,0.0029329576063901186
28,347,,0.003128618001937866
29,349,0.0023977600503712893,
29,359,,0.0030969951767474413
30,371,,0.0029264711774885654
31,383,,0.0028846529312431812
32,395,,0.002820620546117425
33,399,0.0027827315498143435,
33,407,,0.0028938802424818277
34,419,,0.003205294255167246
35,431,,0.002789727644994855
36,443,,0.0027944096364080906
37,449,0.0030092753004282713,
37,455,,0.002777125919237733
38,467,,0.002732694847509265
39,479,,0.0030048051849007607
