epoch,step,train_loss,val_loss
0,49,0.0028712875209748745,
0,61,,0.0009694031905382872
1,99,0.000599846534896642,
1,123,,0.0005972371436655521
2,149,0.0012709212023764849,
2,185,,0.0004136692441534251
3,199,0.0003870328946504742,
3,247,,0.0003739357052836567
4,249,0.0016008673701435328,
4,299,0.000773101462982595,
4,309,,0.00040684716077521443
5,349,0.0010080994106829166,
5,371,,0.0003881306911353022
6,399,0.0009352313354611397,
6,433,,0.0003504268534015864
7,449,0.0005759316263720393,
7,495,,0.00035317896981723607
8,499,0.00043438002467155457,
8,549,0.0011031710309907794,
8,557,,0.0003584232763387263
9,599,0.0003708368167281151,
9,619,,0.0013830125099048018
10,649,0.0005765905953012407,
10,681,,0.0003045591292902827
11,699,0.00041874372982420027,
11,743,,0.00035714494879357517
12,749,0.0005239805323071778,
12,799,0.0007945927791297436,
12,805,,0.0003182168584316969
13,849,0.000817043415736407,
13,867,,0.0003474804398138076
14,899,0.0009038503048941493,
14,929,,0.00035093154292553663
15,949,0.00023656742996536195,
15,991,,0.00030033415532670915
16,999,0.0002811638405546546,
16,1049,0.0005086100427433848,
16,1053,,0.0002791269216686487
17,1099,0.00018653544248081744,
17,1115,,0.000281909218756482
18,1149,0.00047482302761636674,
18,1177,,0.000345047126756981
19,1199,0.00034637231146916747,
19,1239,,0.00033287107362411916
20,1249,0.00015742327377665788,
20,1299,0.0007363158510997891,
20,1301,,0.0003419503045734018
21,1349,0.0008148025954142213,
21,1363,,0.00034539823536761105
